Tag,Year,Title,Details,Size,City,State,City_State,Latitude,Longitude
Leader,1927,César Estrada Chávez,Folk hero and symbol of hope who organized a union of farm workers.,1,Yuma,AZ,Yuma_AZ,32.5992,-114.5488
Leader,1902,Nelson Hale Cruikshank,Helped create Social Security and Medicare.,1,Bradner,OH,Bradner_OH,41.3237,-83.4363
Leader,1855,Eugene Victor Debs,Apostle of industrial unionism.,1,Terre Haute,IN,Terre Haute_IN,39.4654,-87.3763
Leader,1928,Thomas Reilly Donahue,Champion of labor renewal and former AFL-CIO president.,1,New York,NY,New York_NY,40.6943,-73.9249
Leader,1908,Arthur Joseph Goldberg,Legal strategist for the union movement and former secretary of labor.,1,Chicago,IL,Chicago_IL,41.8373,-87.6862
Leader,1850,Samuel Gompers,First and longest-serving president of the American Federation of Labor (AFL).,1,San Antonio,TX,San Antonio_TX,29.4658,-98.5253
Leader,1873,William Green,"Former AFL president who moved the federation toward ""social reform unionism.""",1,Coshocton,OH,Coshocton_OH,40.2618,-81.848
Leader,1879,Joe Hill,"Songwriter, itinerant laborer, union organizer—and martyr.",1,Salt Lake City,UT,Salt Lake City_UT,40.7777,-111.9306
Leader,1887,Sidney Hillman,Amalgamated Clothing Workers of America founder who invented trade unionism as we know it today.,1,Point Lookout,NY,Point Lookout_NY,40.5903,-73.5795
Leader,1837,Mother Jones,The most dangerous woman in America.,1,Silver Spring,MD,Silver Spring_MD,39.0028,-77.0207
Leader,1922,Lane Kirkland,Former AFL-CIO president who had a profound effect on world affairs.,1,Camden,SC,Camden_SC,34.2565,-80.6087
Leader,1880,John L. Lewis,President of the Mine Workers (UMWA) and founding president of the Congress of Industrial Organizations (CIO).,1,Toledo,IA,Toledo_IA,41.9902,-92.5803
Leader,1882,Lucy Randolph Mason,Social reformer dedicated to workers' rights and racial justice.,1,Alexandria,VA,Alexandria_VA,38.8185,-77.0861
