Latitude,Longitude,Title
32.5992,-114.5488,César Estrada Chávez
41.3237,-83.4363,Nelson Hale Cruikshank
39.4654,-87.3763,Eugene Victor Debs
40.6943,-73.9249,Thomas Reilly Donahue
41.8373,-87.6862,Arthur Joseph Goldberg
29.4658,-98.5253,Samuel Gompers
40.2618,-81.848,William Green
40.7777,-111.9306,Joe Hill
40.5903,-73.5795,Sidney Hillman
39.0028,-77.0207,Mother Jones
34.2565,-80.6087,Lane Kirkland
41.9902,-92.5803,John L. Lewis
38.8185,-77.0861,Lucy Randolph Mason
40.6943,-73.9249,Peter J. McGuire
40.6943,-73.9249,George Meany
37.7562,-122.443,Philip Murray
42.3188,-71.0846,Frances Perkins
40.2457,-111.6457,Esther Eggertsen Peterson
29.4375,-81.5173,A. Philip Randolph
40.0752,-80.6951,Walter Reuther
39.9601,-75.6058,Bayard Rustin
64.5213,-165.4053,Industrial Workers of the World Local Chapters
31.4126,-109.9179,Industrial Workers of the World Local Chapters
33.4361,-93.996,Industrial Workers of the World Local Chapters
40.7942,-124.1568,Industrial Workers of the World Local Chapters
39.0876,-108.5673,Industrial Workers of the World Local Chapters
41.3112,-72.9246,Industrial Workers of the World Local Chapters
27.9942,-82.4451,Industrial Workers of the World Local Chapters
21.3294,-157.846,Industrial Workers of the World Local Chapters
43.6007,-116.2312,Industrial Workers of the World Local Chapters
41.8373,-87.6862,Industrial Workers of the World Local Chapters
39.6019,-86.1073,Industrial Workers of the World Local Chapters
42.4959,-96.3901,Industrial Workers of the World Local Chapters
37.3834,-94.7443,Industrial Workers of the World Local Chapters
38.1663,-85.6485,Industrial Workers of the World Local Chapters
30.2012,-93.2122,Industrial Workers of the World Local Chapters
39.3051,-76.6144,Industrial Workers of the World Local Chapters
42.3188,-71.0846,Industrial Workers of the World Local Chapters
42.3834,-83.1024,Industrial Workers of the World Local Chapters
44.9477,-93.104,Industrial Workers of the World Local Chapters
37.8211,-90.505,Industrial Workers of the World Local Chapters
45.902,-112.6571,Industrial Workers of the World Local Chapters
41.2627,-96.0522,Industrial Workers of the World Local Chapters
36.9352,-116.7025,Industrial Workers of the World Local Chapters
42.7491,-71.491,Industrial Workers of the World Local Chapters
40.3494,-74.44,Industrial Workers of the World Local Chapters
40.6943,-73.9249,Industrial Workers of the World Local Chapters
48.1131,-98.875,Industrial Workers of the World Local Chapters
39.1413,-84.5061,Industrial Workers of the World Local Chapters
35.4676,-97.5136,Industrial Workers of the World Local Chapters
46.1856,-123.8053,Industrial Workers of the World Local Chapters
40.4018,-79.8688,Industrial Workers of the World Local Chapters
41.8744,-71.3743,Industrial Workers of the World Local Chapters
34.0189,-80.4299,Industrial Workers of the World Local Chapters
45.1544,-98.4983,Industrial Workers of the World Local Chapters
35.1046,-89.9773,Industrial Workers of the World Local Chapters
29.4658,-98.5253,Industrial Workers of the World Local Chapters
40.5177,-111.9635,Industrial Workers of the World Local Chapters
44.1997,-72.5083,Industrial Workers of the World Local Chapters
37.1051,-76.5185,Industrial Workers of the World Local Chapters
47.6671,-117.433,Industrial Workers of the World Local Chapters
43.0642,-87.9673,Industrial Workers of the World Local Chapters
41.1351,-104.79,Industrial Workers of the World Local Chapters
40.6943,-73.9249,Marine Towing and Transportation Employers' Association
47.6211,-122.3244,Boeing Company
42.3188,-71.0846,Boston Gas Company
38.1741,-81.3241,Bituminous Coal Operators Association
38.4592,-82.6449,Bituminous Coal Operators Association
38.4458,-86.7978,Bituminous Coal Operators Association
37.7679,-89.3321,Bituminous Coal Operators Association
34.1139,-118.4068,Douglas Aircraft
37.2915,-77.2985,Allied Signal Corp.
39.7797,-84.1998,Dayton Board of Education
39.1413,-84.5061,University of Cincinnati
37.7903,-122.2165,Kaiser Permanente
38.1133,-122.2358,Vallejo Board of Education
40.6943,-73.9249,"Retail food stores - Shoprite, Pathmark, Grand Union, Foodtown"
40.7245,-74.1725,"Retail food stores - Shoprite, Pathmark, Grand Union, Foodtown"
40.6266,-75.3679,"PPG Industries, Inc."
33.6772,-117.7738,"PPG Industries, Inc."
37.7679,-89.3321,Bituminous Coal Operators Association
38.4458,-86.7978,Bituminous Coal Operators Association
40.4396,-79.9762,Bituminous Coal Operators Association
37.2785,-79.958,Bituminous Coal Operators Association
39.9862,-82.985,Bituminous Coal Operators Association
37.2785,-79.958,Bituminous Coal Operators Association
38.4592,-82.6449,Bituminous Coal Operators Association
36.5028,-79.7412,"Fieldcrest Cannon, Inc."
36.6827,-79.8636,"Fieldcrest Cannon, Inc."
41.8373,-87.6862,Central Illinois Public Service Company
37.9881,-87.5341,"NBC Merchants, Inc."
42.4623,-93.8167,Frigidaire Company
40.6943,-73.9249,"General Contractors of New York, Inc."
40.7245,-74.1725,Sanitation companies
33.5277,-86.7987,Independent Bituminous Coal Bargaining Alliance
46.4862,-87.6658,"Cleveland Cliffs, Inc."
44.9635,-93.2678,"Cleveland Cliffs, Inc."
40.0077,-75.1339,Best Form Foundations
38.6358,-90.2451,Greater St. Louis Automotive Assn.
40.0077,-75.1339,Philadelphia Gas Works
39.0876,-108.5673,"City Markets, Inc."
34.1139,-118.4068,Los Angeles Department of Water and Power
41.0993,-80.6463,Youngstown Public Schools
37.7562,-122.443,Pacific Maritime Association
42.3834,-83.1024,Blue Cross Blue Shield of Michigan
34.1139,-118.4068,Southern California Gas Company
40.7674,-74.0323,Liquor and wine distributors
40.6943,-73.9249,"Dyeing, finishing, and printing companies"
42.3188,-71.0846,Boston Public Schools
40.6943,-73.9249,"Elevator Industries, Inc."
42.1654,-87.8516,"Caterpillar, Inc."
39.7621,-104.8759,"Caterpillar, Inc."
40.2494,-80.211,"Caterpillar, Inc."
32.7811,-97.3473,American Airlines
32.4656,-93.7956,General Motors Corp.
38.2976,-122.3011,Continental Baking Company
33.7627,-84.4224,United Parcel Service
40.1519,-79.8828,Wheeling Pittsburgh Steel Corp.
40.3653,-80.652,Wheeling Pittsburgh Steel Corp.
40.0139,-80.7328,Wheeling Pittsburgh Steel Corp.
39.7797,-84.1998,General Motors Corp.
36.8945,-76.259,Health-Tex Inc.
33.5277,-86.7987,Health-Tex Inc.
34.0704,-84.2739,Health-Tex Inc.
40.4396,-79.9762,Allegheny Ludlum Corp.
39.0158,-94.8076,Trucking Management Inc.
43.2305,-71.5595,Grinnell Fire Protection Systems Company
21.3294,-157.846,Hawaii-State and county government
41.7637,-88.2901,"Caterpillar, Inc."
39.8556,-88.9337,"Caterpillar, Inc."
41.6639,-83.5822,Meijer Inc.
39.9651,-76.7315,"Caterpillar, Inc."
40.752,-89.6153,"Caterpillar, Inc."
40.0077,-75.1339,Conrail
41.2468,-75.8759,Leslie Fay Companies Inc.
40.781,-74.0659,Leslie Fay Companies Inc.
40.6943,-73.9249,Leslie Fay Companies Inc.
42.4934,-83.027,"General Motors Corp., Technical Center"
41.7661,-72.6834,Connecticut Construction Contractors
41.7637,-88.2901,"Caterpillar, Inc."
40.8642,-86.8786,Monon Corp.
40.7328,-73.4465,Long Island Rail Road
42.1654,-87.8516,"Caterpillar, Inc."
42.962,-85.6562,"Caterpillar, Inc."
40.2494,-80.211,"Caterpillar, Inc."
39.7621,-104.8759,"Caterpillar, Inc."
39.8986,-76.6078,General Dynamics
40.741,-84.1121,General Dynamics
42.5809,-83.0305,General Dynamics
34.7114,-86.7626,Dunlop Tire Company
41.0798,-81.5219,Bridgestone/Firestone Inc.
39.7771,-86.1458,Bridgestone/Firestone Inc.
40.4757,-88.9703,Bridgestone/Firestone Inc.
35.4676,-97.5136,Bridgestone/Firestone Inc.
41.5725,-93.6105,Bridgestone/Firestone Inc.
44.9635,-93.2678,Soo Line Railroad
36.3274,-119.6549,Pirelli Armstrong Tire Corp.
41.5725,-93.6105,Pirelli Armstrong Tire Corp.
36.3327,-86.7029,Pirelli Armstrong Tire Corp.
34.1139,-118.4068,Los Angeles Metropolitan Transportation Authority
41.8373,-87.6862,Chicago Automotive Trade Association
45.5372,-122.65,Food Employers Inc.
45.6366,-122.5967,Food Employers Inc.
40.0891,-85.6893,"General Motors Corp., Inland Fisher Guide Plant"
42.2755,-83.7312,Ann Arbor Board of Education
40.7498,-73.7976,Eagle Electric Manufacturing Company
42.8025,-73.9276,"General Electric Corp., Industrial and Power Systems"
42.3972,-83.3733,Livonia Board of Education
44.7874,-89.6839,SNE Corp.
47.3091,-122.3358,Federal Way Board of Education
37.767,-122.2672,Alameda County
41.0467,-83.6379,Philips Display Components Company
43.0235,-83.6922,"General Motors Corp., Buick City facility"
